,0,1,2,3,4,5,6,7,8,9,10,11,12,13
75,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16
76,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16
77,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02
78,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02
79,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02
80,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02
81,2.09,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02
82,2.09,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02
83,2.09,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02
84,2.16,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
85,2.09,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88
86,2.09,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88
87,2.09,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88
88,2.16,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67
89,2.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6
90,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6
91,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6
92,2.02,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6
93,2.02,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81
94,2.02,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72
95,2.02,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75
96,2.02,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23
97,2.02,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02
98,1.88,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88
99,1.88,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74
100,1.88,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67
101,1.67,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67
102,1.6,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6
103,1.6,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6
104,1.6,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53
105,1.6,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53
106,1.81,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53
107,3.72,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53
108,2.75,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53
109,2.23,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53
110,2.02,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53
111,1.88,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
112,1.74,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.67
113,1.67,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.67,1.67
114,1.67,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.67,1.67,1.6
115,1.6,1.6,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.67,1.67,1.6,1.6
